urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:procedure,urn:ogc:def:parameter:x-istsos:1.0:river:water:height,urn:ogc:def:parameter:x-istsos:1.0:river:water:height:qualityIndex
2019-02-23T19:42:35+05:30,MASPOTHA_WL,0.29,100
2019-02-23T19:52:35+05:30,MASPOTHA_WL,0.29,100
2019-02-23T20:02:35+05:30,MASPOTHA_WL,0.29,100
2019-02-23T20:12:35+05:30,MASPOTHA_WL,0.28,100
2019-02-23T20:22:36+05:30,MASPOTHA_WL,0.29,100
2019-02-23T20:32:36+05:30,MASPOTHA_WL,0.28,100
2019-02-23T20:42:37+05:30,MASPOTHA_WL,0.28,100
2019-02-23T20:52:37+05:30,MASPOTHA_WL,0.28,100
2019-02-23T21:02:37+05:30,MASPOTHA_WL,0.28,100
2019-02-23T21:12:37+05:30,MASPOTHA_WL,0.28,100
2019-02-23T21:22:38+05:30,MASPOTHA_WL,0.28,100
2019-02-23T21:32:38+05:30,MASPOTHA_WL,0.29,100
2019-02-23T21:42:39+05:30,MASPOTHA_WL,0.3,100
2019-02-23T21:52:39+05:30,MASPOTHA_WL,0.29,100
2019-02-23T22:02:39+05:30,MASPOTHA_WL,0.29,100
2019-02-23T22:12:39+05:30,MASPOTHA_WL,0.29,100
2019-02-23T22:22:40+05:30,MASPOTHA_WL,0.29,100
2019-02-23T22:32:40+05:30,MASPOTHA_WL,0.29,100
2019-02-23T22:42:41+05:30,MASPOTHA_WL,0.29,100
2019-02-23T22:52:41+05:30,MASPOTHA_WL,0.3,100
2019-02-23T23:02:42+05:30,MASPOTHA_WL,0.29,100
2019-02-23T23:12:42+05:30,MASPOTHA_WL,0.29,100
2019-02-23T23:22:42+05:30,MASPOTHA_WL,0.29,100
2019-02-23T23:32:42+05:30,MASPOTHA_WL,0.28,100
2019-02-23T23:42:43+05:30,MASPOTHA_WL,0.28,100
2019-02-23T23:52:43+05:30,MASPOTHA_WL,0.29,100
2019-02-24T00:02:43+05:30,MASPOTHA_WL,0.29,100
2019-02-24T00:12:43+05:30,MASPOTHA_WL,0.29,100
2019-02-24T00:22:44+05:30,MASPOTHA_WL,0.29,100
2019-02-24T00:32:44+05:30,MASPOTHA_WL,2.87,100
2019-02-24T00:42:45+05:30,MASPOTHA_WL,0.29,100
2019-02-24T00:52:45+05:30,MASPOTHA_WL,0.29,100
2019-02-24T01:02:45+05:30,MASPOTHA_WL,0.29,100
2019-02-24T01:12:45+05:30,MASPOTHA_WL,0.29,100
2019-02-24T01:22:46+05:30,MASPOTHA_WL,0.29,100
2019-02-24T01:32:46+05:30,MASPOTHA_WL,0.29,100
2019-02-24T01:42:46+05:30,MASPOTHA_WL,0.28,100
2019-02-24T01:52:46+05:30,MASPOTHA_WL,0.29,100
2019-02-24T02:02:46+05:30,MASPOTHA_WL,0.29,100
2019-02-24T02:12:46+05:30,MASPOTHA_WL,0.28,100
2019-02-24T02:22:47+05:30,MASPOTHA_WL,0.28,100
2019-02-24T02:32:49+05:30,MASPOTHA_WL,0.28,100
2019-02-24T02:42:49+05:30,MASPOTHA_WL,0.28,100
2019-02-24T02:52:49+05:30,MASPOTHA_WL,0.28,100
2019-02-24T03:02:49+05:30,MASPOTHA_WL,0.28,100
2019-02-24T03:12:49+05:30,MASPOTHA_WL,0.28,100
2019-02-24T03:22:49+05:30,MASPOTHA_WL,0.28,100
2019-02-24T03:32:51+05:30,MASPOTHA_WL,0.28,100
2019-02-24T03:42:51+05:30,MASPOTHA_WL,0.28,100
2019-02-24T03:52:51+05:30,MASPOTHA_WL,0.28,100
2019-02-24T04:02:51+05:30,MASPOTHA_WL,0.27,100
2019-02-24T04:12:51+05:30,MASPOTHA_WL,0.28,100
2019-02-24T04:22:51+05:30,MASPOTHA_WL,0.28,100
2019-02-24T04:32:51+05:30,MASPOTHA_WL,0.28,100
2019-02-24T04:42:51+05:30,MASPOTHA_WL,0.28,100
2019-02-24T04:52:53+05:30,MASPOTHA_WL,0.28,100
2019-02-24T05:02:53+05:30,MASPOTHA_WL,0.28,100
2019-02-24T05:12:53+05:30,MASPOTHA_WL,0.27,100
2019-02-24T05:22:53+05:30,MASPOTHA_WL,0.28,100
2019-02-24T05:32:55+05:30,MASPOTHA_WL,0.28,100
2019-02-24T05:42:55+05:30,MASPOTHA_WL,0.28,100
2019-02-24T05:52:57+05:30,MASPOTHA_WL,0.27,100
2019-02-24T06:02:57+05:30,MASPOTHA_WL,0.27,100
2019-02-24T06:12:59+05:30,MASPOTHA_WL,0.27,100
2019-02-24T06:22:59+05:30,MASPOTHA_WL,0.27,100
2019-02-24T06:32:59+05:30,MASPOTHA_WL,0.26,100
2019-02-24T06:42:59+05:30,MASPOTHA_WL,0.27,100
2019-02-24T06:52:59+05:30,MASPOTHA_WL,0.27,100
2019-02-24T07:03:00+05:30,MASPOTHA_WL,0.28,100
2019-02-24T07:13:00+05:30,MASPOTHA_WL,0.28,100
2019-02-24T07:23:00+05:30,MASPOTHA_WL,0.28,100
2019-02-24T07:33:00+05:30,MASPOTHA_WL,0.27,100
2019-02-24T07:43:01+05:30,MASPOTHA_WL,0.28,100
2019-02-24T07:53:01+05:30,MASPOTHA_WL,0.27,100
2019-02-24T08:03:01+05:30,MASPOTHA_WL,0.27,100
2019-02-24T08:13:01+05:30,MASPOTHA_WL,0.23,100
2019-02-24T08:23:02+05:30,MASPOTHA_WL,0.19,100
2019-02-24T08:33:02+05:30,MASPOTHA_WL,0.18,100
2019-02-24T08:43:03+05:30,MASPOTHA_WL,0.17,100
2019-02-24T08:53:03+05:30,MASPOTHA_WL,0.16,100
2019-02-24T09:03:04+05:30,MASPOTHA_WL,0.15,100
2019-02-24T09:13:04+05:30,MASPOTHA_WL,0.15,100
2019-02-24T09:23:04+05:30,MASPOTHA_WL,0.13,100
2019-02-24T09:33:04+05:30,MASPOTHA_WL,0.13,100
2019-02-24T09:43:05+05:30,MASPOTHA_WL,0.12,100
2019-02-24T09:53:05+05:30,MASPOTHA_WL,0.12,100
2019-02-24T10:03:07+05:30,MASPOTHA_WL,0.11,100
2019-02-24T10:13:07+05:30,MASPOTHA_WL,0.11,100
2019-02-24T10:23:07+05:30,MASPOTHA_WL,0.12,100
2019-02-24T10:33:07+05:30,MASPOTHA_WL,0.1,100
2019-02-24T10:43:08+05:30,MASPOTHA_WL,5.55,100
2019-02-24T10:53:08+05:30,MASPOTHA_WL,0.11,100
2019-02-24T11:03:09+05:30,MASPOTHA_WL,0.11,100
2019-02-24T11:13:09+05:30,MASPOTHA_WL,0.12,100
2019-02-24T11:23:10+05:30,MASPOTHA_WL,0.12,100
2019-02-24T11:33:10+05:30,MASPOTHA_WL,0.12,100
2019-02-24T11:43:11+05:30,MASPOTHA_WL,0.13,100
2019-02-24T11:53:11+05:30,MASPOTHA_WL,0.14,100
2019-02-24T12:03:11+05:30,MASPOTHA_WL,0.15,100
2019-02-24T12:13:11+05:30,MASPOTHA_WL,0.14,100
2019-02-24T12:23:12+05:30,MASPOTHA_WL,0.15,100
2019-02-24T12:33:12+05:30,MASPOTHA_WL,0.14,100
2019-02-24T12:43:13+05:30,MASPOTHA_WL,0.13,100
2019-02-24T12:53:13+05:30,MASPOTHA_WL,0.16,100
2019-02-24T13:03:14+05:30,MASPOTHA_WL,0.14,100
2019-02-24T13:13:14+05:30,MASPOTHA_WL,0.18,100
2019-02-24T13:23:15+05:30,MASPOTHA_WL,0.21,100
2019-02-24T13:33:15+05:30,MASPOTHA_WL,0.19,100
2019-02-24T13:43:15+05:30,MASPOTHA_WL,0.16,100
2019-02-24T13:53:16+05:30,MASPOTHA_WL,0.16,100
2019-02-24T14:03:16+05:30,MASPOTHA_WL,0.15,100
2019-02-24T14:13:17+05:30,MASPOTHA_WL,0.14,100
2019-02-24T14:23:18+05:30,MASPOTHA_WL,0.14,100
2019-02-24T14:33:18+05:30,MASPOTHA_WL,0.14,100
2019-02-24T14:43:19+05:30,MASPOTHA_WL,0.15,100
2019-02-24T14:53:19+05:30,MASPOTHA_WL,0.14,100
2019-02-24T15:03:19+05:30,MASPOTHA_WL,0.14,100
2019-02-24T15:13:20+05:30,MASPOTHA_WL,0.15,100
2019-02-24T15:23:20+05:30,MASPOTHA_WL,0.15,100
2019-02-24T15:33:20+05:30,MASPOTHA_WL,0.15,100
2019-02-24T15:43:21+05:30,MASPOTHA_WL,0.15,100
2019-02-24T15:53:21+05:30,MASPOTHA_WL,0.15,100
2019-02-24T16:03:22+05:30,MASPOTHA_WL,0.16,100
2019-02-24T16:13:22+05:30,MASPOTHA_WL,0.16,100
2019-02-24T16:23:23+05:30,MASPOTHA_WL,0.17,100
2019-02-24T16:33:23+05:30,MASPOTHA_WL,0.18,100
2019-02-24T16:43:23+05:30,MASPOTHA_WL,0.22,100
2019-02-24T16:53:24+05:30,MASPOTHA_WL,0.23,100
2019-02-24T17:03:24+05:30,MASPOTHA_WL,0.24,100
2019-02-24T17:13:24+05:30,MASPOTHA_WL,0.25,100
2019-02-24T17:23:25+05:30,MASPOTHA_WL,0.22,100
2019-02-24T17:33:25+05:30,MASPOTHA_WL,0.22,100
2019-02-24T17:43:26+05:30,MASPOTHA_WL,0.25,100
2019-02-24T17:53:26+05:30,MASPOTHA_WL,0.24,100
2019-02-24T18:03:27+05:30,MASPOTHA_WL,0.27,100
2019-02-24T18:13:27+05:30,MASPOTHA_WL,0.26,100
2019-02-24T18:23:27+05:30,MASPOTHA_WL,0.27,100
2019-02-24T18:33:27+05:30,MASPOTHA_WL,0.27,100
2019-02-24T18:43:28+05:30,MASPOTHA_WL,0.27,100
2019-02-24T18:53:28+05:30,MASPOTHA_WL,0.27,100
2019-02-24T19:03:29+05:30,MASPOTHA_WL,0.28,100
